epoch,learningRate,trainAcc,testAcc,loss
0,0.005491021,73.30434783,76.80995475,101
1,0.005491021,73.2173913,77.26244344,40.63880103
2,0.005491021,73.26086957,81.8438914,34.96603661
3,0.005491021,74.17391304,81.90045249,29.70149258
4,0.005491021,71.7826087,76.92307692,30.34055758
5,0.005491021,72.43478261,82.97511312,31.17697828
6,0.005491021,73.26086957,84.72850679,27.03191942
7,0.005491021,72.47826087,82.01357466,23.05779353
8,0.005491021,72.52173913,77.88461538,24.35091572
9,0.005491021,71.65217391,83.65384615,29.40432552
10,0.005491021,73.43478261,83.8800905,21.64204713
11,0.005491021,73.34782609,82.97511312,21.94966071
12,0.005491021,71.69565217,83.42760181,16.9526531
13,0.005491021,74,85.0678733,14.84822152
14,0.005491021,72.47826087,82.46606335,14.93558241
15,0.005491021,74.17391304,80.54298643,11.11726387
16,0.005491021,74,80.59954751,20.72000332
17,0.005491021,73.39130435,84.33257919,27.41467091
18,0.005491021,72.43478261,82.35294118,14.96092211
19,0.005491021,74.30434783,83.76696833,11.17034292
20,0.005491021,73.69565217,81.39140271,9.086165755
21,0.005491021,73.69565217,83.31447964,12.93806709
22,0.005491021,73.91304348,84.55882353,9.466300508
23,0.005491021,74.91304348,82.35294118,5.939108699
24,0.005491021,75,83.54072398,6.856912642
25,0.005491021,73.34782609,82.29638009,4.631972067
26,0.005491021,74.39130435,83.82352941,6.286018536
27,0.005491021,74.65217391,82.86199095,6.978943652
28,0.005491021,72.43478261,81.56108597,7.231051147
29,0.005491021,73.39130435,80.31674208,14.13835396
30,0.005491021,74.60869565,84.38914027,12.39895867
31,0.005491021,74.30434783,83.93665158,8.100628318
32,0.005491021,72.08695652,82.57918552,15.96715583
33,0.005491021,73.7826087,81.8438914,8.369939272
34,0.005491021,74.13043478,82.29638009,4.189599059
35,0.005491021,74.39130435,84.04977376,3.811272122
36,0.005491021,73.60869565,81.39140271,5.321259442
37,0.005491021,74.13043478,84.10633484,5.495798087
38,0.005491021,72.52173913,82.97511312,7.172710341
39,0.005491021,74.47826087,84.10633484,3.728764861
40,0.005491021,74.34782609,83.8800905,2.669873816
41,0.005491021,75.56521739,83.71040724,2.513870764
42,0.005491021,75.47826087,83.14479638,2.077443027
43,0.005491021,74.52173913,83.76696833,2.663200412
44,0.005491021,73.52173913,80.76923077,13.43050857
45,0.005491021,72.69565217,84.55882353,7.009110709
46,0.005491021,72.26086957,81.95701357,3.552856081
47,0.005491021,73.17391304,81.39140271,2.218464621
48,0.005491021,73.73913043,83.03167421,1.554005869
49,0.005491021,74.86956522,82.91855204,1.395066514
50,0.005491021,75.08695652,83.37104072,2.818733424
51,0.005491021,74.34782609,83.08823529,6.334612205
52,0.005491021,73.08695652,81.95701357,6.388021203
53,0.005491021,74.04347826,83.03167421,3.222640103
54,0.005491021,75.73913043,83.20135747,1.124661481
55,0.005491021,76.30434783,82.57918552,1.605805485
56,0.005491021,76.91304348,81.78733032,6.829974127
57,0.005491021,72.95652174,82.18325792,5.602186739
58,0.005491021,76.08695652,83.59728507,3.378643861
59,0.005491021,75.95652174,83.37104072,2.847742262
60,0.005491021,76.08695652,84.16289593,1.550918387
61,0.005491021,76.91304348,83.37104072,0.39990298
62,0.005491021,77.60869565,83.42760181,0.12306047
63,0.005491021,81.73913043,83.65384615,0.036868406
64,0.005491021,81.2173913,83.82352941,0.011559483
65,0.005491021,82.2173913,83.76696833,0.006167847
66,0.005491021,83.82608696,83.76696833,0.004582551
67,0.005491021,84.73913043,83.82352941,0.002605237
68,0.005491021,86.47826087,83.76696833,0.002312207
69,0.005491021,87.52173913,83.82352941,0.001688766
70,0.005491021,87.08695652,83.82352941,0.001584715
71,0.005491021,87.69565217,83.76696833,0.001321107
72,0.005491021,89.2173913,83.76696833,0.001294417
73,0.005491021,89.30434783,83.8800905,0.001105665
74,0.005491021,89.69565217,83.82352941,0.000947504
75,0.005491021,89.26086957,83.82352941,0.000968073
76,0.005491021,89.2173913,83.82352941,0.000851121
77,0.005491021,89.47826087,83.82352941,0.000789406
78,0.005491021,90.04347826,83.82352941,0.000740822
79,0.005491021,90.26086957,83.76696833,0.00068203
80,0.005491021,90.69565217,83.82352941,0.00062284
81,0.005491021,91.60869565,83.82352941,0.000599998
82,0.005491021,91.60869565,83.65384615,0.000559751
83,0.005491021,91.30434783,83.76696833,0.000546381
84,0.005491021,92.04347826,83.76696833,0.000509377
85,0.005491021,92.13043478,83.76696833,0.000504819
86,0.005491021,91.30434783,83.82352941,0.000474378
87,0.005491021,91.43478261,83.59728507,0.000485712
88,0.005491021,91.39130435,83.76696833,0.000442335
89,0.005491021,91.60869565,83.65384615,0.000402311
90,0.005491021,92.60869565,83.54072398,0.000397798
91,0.005491021,92.82608696,83.71040724,0.000379522
92,0.005491021,93,83.59728507,0.000377277
93,0.005491021,92.91304348,83.71040724,0.000352448
94,0.005491021,92.2173913,83.59728507,0.000340682
95,0.005491021,93.30434783,83.59728507,0.000323652
96,0.005491021,92.52173913,83.59728507,0.000305887
97,0.005491021,93.34782609,83.59728507,0.000296134
98,0.005491021,93.34782609,83.54072398,0.000286457
99,0.005491021,92.65217391,83.59728507,0.000274552
100,0.005491021,93.52173913,83.54072398,0.000263721
101,0.005491021,93.47826087,83.54072398,0.000252979
102,0.005491021,93.52173913,83.54072398,0.00024706
103,0.005491021,93.52173913,83.54072398,0.000241584
104,0.005491021,92.82608696,83.4841629,0.00023036
105,0.005491021,93.65217391,83.54072398,0.00022112
106,0.005491021,93.65217391,83.54072398,0.000217834
107,0.005491021,94,83.54072398,0.000207822
108,0.005491021,94,83.54072398,0.000198677
109,0.005491021,93.30434783,83.54072398,0.000209593
110,0.005491021,94.04347826,83.4841629,0.000186437
111,0.005491021,93.30434783,83.54072398,0.000181333
112,0.005491021,94.2173913,83.54072398,0.000174708
113,0.005491021,93.56521739,83.59728507,0.00018794
114,0.005491021,94.43478261,83.4841629,0.000165419
115,0.005491021,93.60869565,83.4841629,0.000164563
116,0.005491021,94.52173913,83.4841629,0.000153624
117,0.005491021,94.43478261,83.65384615,0.000150939
118,0.005491021,93.56521739,83.4841629,0.000145075
119,0.005491021,94.52173913,83.59728507,0.000140405
120,0.005491021,94.60869565,83.54072398,0.000139174
121,0.005491021,94.60869565,83.54072398,0.000141583
122,0.005491021,94.65217391,83.54072398,0.000128746
123,0.005491021,94.82608696,83.54072398,0.000126716
124,0.005491021,94.7826087,83.54072398,0.000123387
125,0.005491021,94.08695652,83.4841629,0.000170442
126,0.005491021,94.26086957,83.4841629,0.000130734
127,0.005491021,95.04347826,83.4841629,0.000114114
128,0.005491021,95.08695652,83.54072398,0.000106776
129,0.005491021,94.39130435,83.54072398,0.000104858
130,0.005491021,94.34782609,83.54072398,0.000125338
131,0.005491021,95.2173913,83.4841629,9.79E-05
132,0.005491021,94.47826087,83.4841629,0.000114895
133,0.005491021,94.47826087,83.4841629,0.000147249
134,0.005491021,95.08695652,83.65384615,9.23E-05
135,0.005491021,95.26086957,83.65384615,9.06E-05
136,0.005491021,94.52173913,83.59728507,8.82E-05
137,0.005491021,95.39130435,83.4841629,8.29E-05
138,0.005491021,95.34782609,83.54072398,8.06E-05
139,0.005491021,95.47826087,83.59728507,7.86E-05
140,0.005491021,95.47826087,83.59728507,7.71E-05
141,0.005491021,95.52173913,83.54072398,7.45E-05
142,0.005491021,95.47826087,83.59728507,7.29E-05
143,0.005491021,95.56521739,83.59728507,7.18E-05
144,0.005491021,95.52173913,83.4841629,6.95E-05
145,0.005491021,95.60869565,83.54072398,6.77E-05
146,0.005491021,95.60869565,83.4841629,6.64E-05
147,0.005491021,94.91304348,83.54072398,7.27E-05
148,0.005491021,95.69565217,83.42760181,6.28E-05
149,0.005491021,95.86956522,83.42760181,6.95E-05
150,0.005491021,95.7826087,83.59728507,6.01E-05
151,0.005491021,95.86956522,83.54072398,6.00E-05
152,0.005491021,95.91304348,83.59728507,6.11E-05
153,0.005491021,95.7826087,83.59728507,5.56E-05
154,0.005491021,95.08695652,83.54072398,5.51E-05
155,0.005491021,95.86956522,83.59728507,5.89E-05
156,0.005491021,95.95652174,83.59728507,5.22E-05
157,0.005491021,95.91304348,83.59728507,5.07E-05
158,0.005491021,96.08695652,83.59728507,5.00E-05
159,0.005491021,96.04347826,83.59728507,4.86E-05
160,0.005491021,96.08695652,83.59728507,4.74E-05
161,0.005491021,96.13043478,83.59728507,4.64E-05
162,0.005491021,95.91304348,83.59728507,4.53E-05
163,0.005491021,96.13043478,83.59728507,4.44E-05
164,0.005491021,96.04347826,83.59728507,4.38E-05
165,0.005491021,96,83.54072398,4.26E-05
166,0.005491021,96,83.54072398,4.52E-05
167,0.005491021,96.17391304,83.59728507,4.10E-05
168,0.005491021,96.13043478,83.54072398,3.97E-05
169,0.005491021,96.13043478,83.54072398,3.86E-05
170,0.005491021,96.08695652,83.54072398,3.79E-05
171,0.005491021,96.30434783,83.54072398,3.73E-05
172,0.005491021,96.13043478,83.54072398,3.65E-05
173,0.005491021,96.34782609,83.54072398,3.57E-05
174,0.005491021,96.43478261,83.54072398,3.49E-05
175,0.005491021,96.34782609,83.54072398,3.43E-05
176,0.005491021,96.56521739,83.54072398,3.39E-05
177,0.005491021,95.69565217,83.54072398,3.33E-05
178,0.005491021,96.43478261,83.54072398,3.19E-05
179,0.005491021,96.56521739,83.54072398,3.11E-05
180,0.005491021,96.60869565,83.54072398,3.07E-05
181,0.005491021,95.7826087,83.54072398,3.85E-05
182,0.005491021,96.60869565,83.59728507,3.40E-05
183,0.005491021,96.56521739,83.59728507,2.90E-05
184,0.005491021,96.56521739,83.54072398,2.82E-05
185,0.005491021,96.60869565,83.54072398,2.78E-05
186,0.005491021,96.47826087,83.59728507,2.72E-05
187,0.005491021,96.65217391,83.59728507,2.65E-05
188,0.005491021,96.73913043,83.54072398,2.59E-05
189,0.005491021,96.65217391,83.54072398,2.56E-05
190,0.005491021,95.95652174,83.59728507,2.56E-05
191,0.005491021,96.73913043,83.59728507,2.44E-05
192,0.005491021,96.69565217,83.59728507,2.39E-05
193,0.005491021,96.73913043,83.59728507,2.35E-05
194,0.005491021,96.86956522,83.59728507,2.31E-05
195,0.005491021,96.95652174,83.59728507,2.25E-05
196,0.005491021,96.86956522,83.59728507,2.23E-05
197,0.005491021,96.95652174,83.59728507,2.17E-05
198,0.005491021,96.17391304,83.59728507,2.20E-05
199,0.005491021,97,83.59728507,2.10E-05
200,0.005491021,97.04347826,83.59728507,2.06E-05
201,0.005491021,97.04347826,83.59728507,2.10E-05
202,0.005491021,96.95652174,83.59728507,1.96E-05
203,0.005491021,96.26086957,83.59728507,2.06E-05
204,0.005491021,97.08695652,83.59728507,1.91E-05
205,0.005491021,97,83.59728507,1.87E-05
206,0.005491021,97.08695652,83.59728507,1.92E-05
207,0.005491021,97,83.59728507,1.82E-05
208,0.005491021,97.08695652,83.59728507,2.02E-05
209,0.005491021,96.95652174,83.59728507,1.72E-05
210,0.005491021,97.04347826,83.59728507,2.12E-05
211,0.005491021,97.08695652,83.59728507,1.68E-05
212,0.005491021,97.04347826,83.59728507,1.63E-05
213,0.005491021,97.04347826,83.59728507,1.62E-05
214,0.005491021,97,83.59728507,1.58E-05
215,0.005491021,96.26086957,83.59728507,1.55E-05
216,0.005491021,96.95652174,83.59728507,1.53E-05
217,0.005491021,97.08695652,83.59728507,1.50E-05
218,0.005491021,97,83.59728507,1.45E-05
219,0.005491021,97.17391304,83.59728507,1.44E-05
220,0.005491021,97.13043478,83.59728507,1.40E-05
221,0.005491021,96.34782609,83.59728507,2.39E-05
222,0.005491021,97.13043478,83.54072398,1.33E-05
223,0.005491021,97.26086957,83.59728507,1.33E-05
